1,983503,725925,2
2,828758,752458,3
3,287487,500797,1
4,901299,792449,6
5,283573,761084,7
6,247319,461431,1
7,724850,786448,5
8,821990,750714,3
9,434169,486558,4
10,873191,672885,2
11,691922,813706,5
12,899884,836844,8
13,754519,889557,9
14,371167,547940,1
15,843073,762773,3
16,775103,845509,6
17,777232,846432,8
18,731530,788422,3
19,830091,888465,8
20,272089,759446,7
21,682406,580546,4
22,862633,657818,2
23,247526,437491,1
24,856295,878277,8
25,578204,502579,4
26,792116,894044,9
27,947587,762961,2
28,783287,877141,5
29,920189,711903,2
30,871913,793387,6
31,796651,766113,3
32,287271,490149,1
33,833207,735661,3
34,611828,564732,4
35,916928,867400,8
36,793360,856288,9
37,904608,682376,2
38,887025,814059,6
39,775864,882408,5
40,903613,789855,6
41,854403,843377,9
42,331479,853229,7
43,906668,807604,6
44,985097,856211,8
45,264933,765468,7
46,812999,856669,9
47,247291,430031,1
48,247499,423667,1
49,855022,821282,9
50,862153,690643,2
51,697130,788329,5
52,897233,756531,6
53,787596,810812,6
54,689721,892139,5
55,577258,489026,4
56,847114,624656,2
57,805642,651791,2
58,247966,424739,1
59,893225,866323,8
60,803892,872916,6
61,578547,510579,4
62,574534,475145,4
63,855072,653229,2
64,791853,914439,9
65,839258,911190,8
66,806588,883100,9
67,598571,535737,4
68,806634,887646,5
69,905732,912532,8
70,307664,865704,7
71,287207,476325,1
72,814192,891456,5
73,311464,899760,7
74,287207,476325,1
75,887293,717471,2
76,783659,889817,5
77,846957,846679,9
78,287540,481564,1
79,770600,747280,3
80,607499,550721,4
81,331479,853229,7
82,926847,835949,8
83,855018,743894,3
84,864579,866129,9
85,264933,765468,7
86,724669,817571,5
87,579535,506675,4
88,908173,670383,2
89,295488,753138,7
90,247355,442198,1
91,746781,614505,2
92,799801,818123,6
93,865311,891829,8
94,574100,505225,4
95,272681,768574,7
96,577258,489026,4
97,777159,675981,2
98,791134,923306,9
99,866401,929043,8
100,772408,784056,3
101,681190,584030,4
102,247526,437491,1
103,812808,847312,6
104,883233,892723,8
105,612081,595027,4
106,806892,885092,9
107,308664,871536,7
108,902675,691225,2
109,879172,814660,6
110,764917,873839,5
111,874679,829765,6
112,790877,790255,3
113,939103,860205,8
114,287479,483221,1
115,287415,469397,1
116,334035,877945,7
117,853536,896800,5
118,273420,763542,7
119,890488,748520,6
120,963938,797766,8
121,785578,721326,3
122,740925,871735,9
123,865311,891829,8
124,680679,594747,4
125,805642,651791,2
126,823590,846554,6
127,804720,864640,6
128,761223,872157,5
129,789650,770846,3
130,792116,894044,9
131,809730,778206,3
132,905732,912532,8
133,611703,552565,4
134,874679,829765,6
135,793360,856288,9
136,611711,570141,4
137,925756,815228,8
138,247319,461431,1
139,295570,805058,7
140,542957,614290,4
141,923178,770262,6
142,247571,451459,1
143,719452,784475,5
144,964704,890890,8
145,852027,625656,2
146,747066,783526,3
147,760875,919713,9
148,686503,599453,4
149,265689,785124,7
150,821625,880635,6
151,857249,917139,8
152,789012,883092,9
153,781862,736130,3
154,897345,876371,8
155,615924,566460,4
156,333082,879430,7
157,779599,783613,3
158,813088,870104,9
